trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;Paris Montparnasse Hall 1 - 2;;2026-08-23 06:46:00;2026-08-23 09:50:44;2026-08-23 09:55:39;;0
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;Poitiers;2026-08-23 08:16:00;2026-08-23 08:20:00;2026-08-23 09:50:44;2026-08-23 09:55:39;5;5
OCESN8371F1187_F:OUI:FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A::87391003:87485003:5:944:20260830;;8371;-1;La Rochelle;2026-08-23 09:49:00;;2026-08-23 09:50:44;2026-08-23 09:55:39;5;
OCESN8804F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:3:909:20260823;;8804;-1;Nantes;;2026-08-23 07:14:00;2026-08-23 09:50:44;2026-08-23 09:55:39;;10
OCESN8804F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:3:909:20260823;;8804;-1;Angers Saint-Laud;2026-08-23 08:21:00;2026-08-23 08:29:00;2026-08-23 09:50:44;2026-08-23 09:55:39;40;45
OCESN8804F1187_F:OUI:FR:Line::62C16406-4390-4C30-B97A-94317527CF00::87481002:87391003:3:909:20260823;;8804;-1;Paris Montparnasse Hall 1 - 2;2026-08-23 09:49:00;;2026-08-23 09:50:44;2026-08-23 09:55:39;40;
OCESN9884F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87471003:87223263:8:1018:20260823;;9884;-1;Rennes;;2026-08-23 06:23:00;2026-08-23 10:20:41;2026-08-23 10:25:33;;0
OCESN9884F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87471003:87223263:8:1018:20260823;;9884;-1;Le Mans;2026-08-23 07:18:00;2026-08-23 07:38:00;2026-08-23 10:20:41;2026-08-23 10:25:33;0;10
OCESN9884F1187_F:OUI:FR:Line::518E9B38-0951-4497-9594-67CB169CDB4E::87471003:87223263:8:1018:20260823;;9884;-1;Massy TGV;2026-08-23 08:29:00;2026-08-23 08:36:00;2026-08-23 10:20:41;2026-08-23 10:25:33;10;10
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1043:20260913;;5260;-1;Bordeaux Saint-Jean;;2026-08-23 05:58:00;2026-08-23 10:50:43;2026-08-23 10:55:34;;0
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1043:20260913;;5260;-1;Angoulême;2026-08-23 06:38:00;2026-08-23 06:41:00;2026-08-23 10:50:43;2026-08-23 10:55:34;5;5
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1043:20260913;;5260;-1;Poitiers;2026-08-23 07:21:00;2026-08-23 07:24:00;2026-08-23 10:50:43;2026-08-23 10:55:34;5;5
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1043:20260913;;5260;-1;Massy TGV;2026-08-23 08:59:00;2026-08-23 09:02:00;2026-08-23 10:50:43;2026-08-23 10:55:34;5;5
