trip_id;numero_train;destination;stop_sequence;gare;arrival_time;departure_time;derniere_maj;heure_detection_fin_trajet;arrival_delay_min;departure_delay_min
OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260913;;5202;-1;Massy TGV;2026-08-30 09:09:00;2026-08-30 09:13:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;1
OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260913;;5202;-1;Poitiers;2026-08-30 10:39:00;2026-08-30 10:42:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260913;;5202;-1;Angoulême;2026-08-30 11:22:00;2026-08-30 11:25:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5202F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87286005:87581009:11:1202:20260913;;5202;-1;Bordeaux Saint-Jean;2026-08-30 12:02:00;;2026-08-30 09:30:08;2026-08-30 15:14:41;0;
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260830;;5260;-1;Bordeaux Saint-Jean;;2026-08-30 05:55:00;2026-08-30 09:30:08;2026-08-30 15:14:41;;0
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260830;;5260;-1;Angoulême;2026-08-30 06:30:00;2026-08-30 06:33:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260830;;5260;-1;Poitiers;2026-08-30 07:18:00;2026-08-30 07:21:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;5
OCESN5260F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87286005:8:1040:20260830;;5260;-1;Massy TGV;2026-08-30 08:51:00;2026-08-30 08:54:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5300F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87481002:87688887:8:1121:20261126;;5300;-1;Nantes;;2026-08-30 04:50:00;2026-08-30 09:30:08;2026-08-30 15:14:41;;0
OCESN5300F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87481002:87688887:8:1121:20261126;;5300;-1;Angers Saint-Laud;2026-08-30 05:26:00;2026-08-30 05:29:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5300F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87481002:87688887:8:1121:20261126;;5300;-1;Massy TGV;2026-08-30 07:30:00;2026-08-30 07:38:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;10
OCESN5351F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87722025:87481002:6:1119:20261212;;5351;-1;Massy TGV;2026-08-30 08:34:00;2026-08-30 08:46:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5351F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87722025:87481002:6:1119:20261212;;5351;-1;Angers Saint-Laud;2026-08-30 10:44:00;2026-08-30 10:47:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;5
OCESN5351F1187_F:OUI:FR:Line::3544567F-7F17-4253-85BB-D1E6A7B27A9A::87722025:87481002:6:1119:20261212;;5351;-1;Nantes;2026-08-30 11:24:00;;2026-08-30 09:30:08;2026-08-30 15:14:41;5;
OCESN5440F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260830;;5440;-1;Bordeaux Saint-Jean;;2026-08-30 08:54:00;2026-08-30 09:30:08;2026-08-30 15:14:41;;0
OCESN5440F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260830;;5440;-1;Angoulême;2026-08-30 09:31:00;2026-08-30 09:41:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;5
OCESN5440F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260830;;5440;-1;Poitiers;2026-08-30 10:21:00;2026-08-30 10:25:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;5
OCESN5440F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87581009:87212027:10:1429:20260830;;5440;-1;Massy TGV;2026-08-30 11:58:00;2026-08-30 12:01:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;5
OCESN5450F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:9:1202:20260830;;5450;-1;Massy TGV;2026-08-30 09:09:00;2026-08-30 09:13:00;2026-08-30 09:30:08;2026-08-30 15:14:41;5;1
OCESN5450F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:9:1202:20260830;;5450;-1;Poitiers;2026-08-30 10:39:00;2026-08-30 10:42:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
OCESN5450F1187_F:OUI:FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010::87212027:87581009:9:1202:20260830;;5450;-1;Angoulême;2026-08-30 11:22:00;2026-08-30 11:25:00;2026-08-30 09:30:08;2026-08-30 15:14:41;0;0
